Plot,Forest,Season,Category,Abundance,Relative_abundance,TC,TN,TP,pH,CN,CP,NP,restoration
RM4,RM,Wet,Soil saprotroph,7842,22.86297376,20.87,2,0.749,5.03,10.435,27.86381842,2.670226969,Monoculture
NR1,NR,Wet,Soil saprotroph,7509,21.89212828,24.13,2.44,0.531,4.26,9.889344262,45.44256121,4.595103578,Restored forest
NR2,NR,Wet,Soil saprotroph,8548,24.9212828,24.34,2.4,0.478,4.13,10.14166667,50.92050209,5.020920502,Restored forest
NR3,NR,Wet,Soil saprotroph,8931,26.03790087,20.83,2.08,0.517,4.25,10.01442308,40.2901354,4.023210832,Restored forest
NR4,NR,Wet,Soil saprotroph,6759,19.70553936,20.63,2.09,0.456,4.22,9.870813397,45.24122807,4.583333333,Restored forest
RP1,RP,Wet,Soil saprotroph,10410,30.34985423,21.01,2.04,0.439,4.72,10.29901961,47.85876993,4.646924829,Restored forest
RP2,RP,Wet,Soil saprotroph,7578,22.09329446,21.99,2.13,0.446,4.78666,10.32394366,49.30493274,4.775784753,Restored forest
RP3,RP,Wet,Soil saprotroph,9894,28.84548105,22.26,2.18,0.466,4.8,10.21100917,47.76824034,4.678111588,Restored forest
RP4,RP,Wet,Soil saprotroph,10448,30.4606414,19.4,2.09,0.483,4.7,9.282296651,40.16563147,4.327122153,Restored forest
MF1,MF,Wet,Soil saprotroph,5921,17.26239067,34.24,3.53,0.703,5.95,9.699716714,48.70554765,5.021337127,Rainforest
MF2,MF,Wet,Soil saprotroph,3727,10.86588921,31.67,3.21,0.538,6.61,9.866043614,58.866171,5.966542751,Rainforest
MF3,MF,Wet,Soil saprotroph,6542,19.0728863,23.78,2.76,0.622,5.32,8.615942029,38.23151125,4.437299035,Rainforest
MF4,MF,Wet,Soil saprotroph,3798,11.0728863,41.14,3.97,0.71,6.49,10.3627204,57.94366197,5.591549296,Rainforest
RM1,RM,Dry,Wood saprotroph,511,1.489795918,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
RM2,RM,Dry,Wood saprotroph,373,1.087463557,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
RM3,RM,Dry,Wood saprotroph,1294,3.772594752,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
RM4,RM,Dry,Wood saprotroph,1884,5.49271137,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
NR1,NR,Dry,Wood saprotroph,382,1.113702624,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
NR2,NR,Dry,Wood saprotroph,1034,3.014577259,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
NR3,NR,Dry,Wood saprotroph,1179,3.437317784,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
NR4,NR,Dry,Wood saprotroph,1000,2.915451895,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
RP1,RP,Dry,Wood saprotroph,338,0.985422741,20.04,1.97,0.51615,4.823333333,10.17258883,38.8259227,3.816719946,Restored forest
RP2,RP,Dry,Wood saprotroph,1572,4.583090379,22.07,2.14,0.5012,4.813333333,10.31308411,44.03431764,4.269752594,Restored forest
RP3,RP,Dry,Wood saprotroph,1066,3.10787172,21.76,2.05,0.48735,4.853333333,10.61463415,44.64963579,4.206422489,Restored forest
RP4,RP,Dry,Wood saprotroph,639,1.862973761,22.18,2.15,0.5534,4.626666667,10.31627907,40.07950849,3.885074087,Restored forest
MF1,MF,Dry,Wood saprotroph,1186,3.457725948,28.04,2.91,0.5943,5.563333333,9.635738832,47.18155814,4.896516911,Rainforest
MF2,MF,Dry,Wood saprotroph,3846,11.21282799,28.83,2.81,0.5519,5.846666667,10.25978648,52.23772423,5.091502084,Rainforest
MF3,MF,Dry,Wood saprotroph,1432,4.174927114,22.94,2.62,0.5901,5.11,8.755725191,38.87476699,4.439925436,Rainforest
MF4,MF,Dry,Wood saprotroph,1315,3.833819242,31.77,3.33,0.68995,5.81,9.540540541,46.04681499,4.826436698,Rainforest
RM1,RM,Wet,Wood saprotroph,2809,8.189504373,16.66,1.78,1.23,5.52,9.359550562,13.54471545,1.447154472,Monoculture
RM2,RM,Wet,Wood saprotroph,1357,3.956268222,18.53,1.85,1.15,4.93,10.01621622,16.11304348,1.608695652,Monoculture
RM3,RM,Wet,Wood saprotroph,2698,7.865889213,21.74,2.17,1.18,5.28666,10.01843318,18.42372881,1.838983051,Monoculture
RM4,RM,Wet,Wood saprotroph,2480,7.2303207,20.87,2,0.749,5.03,10.435,27.86381842,2.670226969,Monoculture
NR1,NR,Wet,Wood saprotroph,2501,7.29154519,24.13,2.44,0.531,4.26,9.889344262,45.44256121,4.595103578,Restored forest
NR2,NR,Wet,Wood saprotroph,4142,12.07580175,24.34,2.4,0.478,4.13,10.14166667,50.92050209,5.020920502,Restored forest
NR3,NR,Wet,Wood saprotroph,4795,13.97959184,20.83,2.08,0.517,4.25,10.01442308,40.2901354,4.023210832,Restored forest
NR4,NR,Wet,Wood saprotroph,3577,10.42857143,20.63,2.09,0.456,4.22,9.870813397,45.24122807,4.583333333,Restored forest
RP1,RP,Wet,Wood saprotroph,2554,7.44606414,21.01,2.04,0.439,4.72,10.29901961,47.85876993,4.646924829,Restored forest
RP2,RP,Wet,Wood saprotroph,6175,18.00291545,21.99,2.13,0.446,4.78666,10.32394366,49.30493274,4.775784753,Restored forest
RP3,RP,Wet,Wood saprotroph,2019,5.886297376,22.26,2.18,0.466,4.8,10.21100917,47.76824034,4.678111588,Restored forest
RP4,RP,Wet,Wood saprotroph,4059,11.83381924,19.4,2.09,0.483,4.7,9.282296651,40.16563147,4.327122153,Restored forest
MF1,MF,Wet,Wood saprotroph,3713,10.82507289,34.24,3.53,0.703,5.95,9.699716714,48.70554765,5.021337127,Rainforest
MF2,MF,Wet,Wood saprotroph,7169,20.90087464,31.67,3.21,0.538,6.61,9.866043614,58.866171,5.966542751,Rainforest
MF3,MF,Wet,Wood saprotroph,2323,6.772594752,23.78,2.76,0.622,5.32,8.615942029,38.23151125,4.437299035,Rainforest
MF4,MF,Wet,Wood saprotroph,3547,10.34110787,41.14,3.97,0.71,6.49,10.3627204,57.94366197,5.591549296,Rainforest
